"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Nov-2022","EQ","422.00","427.55","419.60","431.55","422.90","423.15","423.35","536.70","366.20",15621809,"6,613,436,881.35",151500
"16-Nov-2022","EQ","436.95","438.20","429.60","437.15","431.00","431.55","433.56","536.70","366.20",8206169,"3,557,829,752.10",95936
"15-Nov-2022","EQ","434.90","438.50","434.10","433.70","436.35","437.15","437.01","536.70","366.20",10696024,"4,674,253,814.35",114853
"14-Nov-2022","EQ","424.00","437.70","423.50","423.50","433.50","433.70","433.93","536.70","366.20",17996083,"7,809,003,764.25",180908
"11-Nov-2022","EQ","420.00","425.50","414.70","412.20","423.00","423.50","420.82","536.70","366.20",19296401,"8,120,215,752.15",193066
"10-Nov-2022","EQ","420.50","420.55","409.20","433.15","413.20","412.20","413.57","536.70","366.20",26251660,"10,856,986,374.85",326473
"09-Nov-2022","EQ","439.20","441.20","432.00","435.00","433.10","433.15","436.28","536.70","366.20",14471443,"6,313,575,496.40",152615
"07-Nov-2022","EQ","428.25","437.50","428.25","425.35","435.00","435.00","432.99","536.70","366.20",15058076,"6,520,025,232.95",142616
"04-Nov-2022","EQ","418.20","426.00","416.90","416.25","424.90","425.35","422.73","536.70","366.20",12277023,"5,189,908,108.45",116431
"03-Nov-2022","EQ","419.40","423.30","414.50","422.15","416.30","416.25","417.83","536.70","366.20",10987519,"4,590,942,130.10",106482
"02-Nov-2022","EQ","423.05","425.10","420.15","421.35","422.60","422.15","422.26","536.70","366.20",12433578,"5,250,237,518.95",96473
"01-Nov-2022","EQ","414.90","422.40","412.80","412.75","421.00","421.35","417.98","536.70","366.20",17324893,"7,241,535,370.85",165150
"31-Oct-2022","EQ","414.35","416.30","411.60","409.90","412.15","412.75","413.11","536.70","366.20",9928218,"4,101,431,170.45",115652
"28-Oct-2022","EQ","408.00","411.20","406.10","407.70","410.20","409.90","408.99","536.70","366.20",12488938,"5,107,791,578.55",107978
"27-Oct-2022","EQ","408.55","411.70","404.00","404.55","408.00","407.70","408.11","536.70","366.20",14614841,"5,964,501,519.15",138789
"25-Oct-2022","EQ","404.35","410.50","403.20","401.60","404.20","404.55","407.01","536.70","366.20",17979661,"7,317,816,836.80",176905
"24-Oct-2022","EQ","406.00","406.00","400.15","398.05","402.30","401.60","402.04","536.70","366.20",2871205,"1,154,337,705.80",71959
"21-Oct-2022","EQ","397.00","402.25","394.70","398.10","398.20","398.05","399.01","536.70","366.20",10279618,"4,101,687,458.65",117448
"20-Oct-2022","EQ","397.00","399.90","393.10","399.05","397.90","398.10","396.74","536.70","366.20",10747183,"4,263,836,335.25",123832
"19-Oct-2022","EQ","406.20","406.95","397.30","404.25","398.65","399.05","402.39","536.70","366.20",8648435,"3,480,082,846.90",91985
"18-Oct-2022","EQ","401.00","406.70","400.70","396.10","404.55","404.25","403.83","536.70","366.20",14215544,"5,740,613,453.25",133571
"17-Oct-2022","EQ","394.00","398.90","392.50","396.25","397.00","396.10","395.78","536.70","366.20",9543556,"3,777,115,166.75",115112
"14-Oct-2022","EQ","407.00","409.20","395.30","399.00","396.25","396.25","401.55","536.70","366.20",12875470,"5,170,199,321.75",135477
"13-Oct-2022","EQ","396.55","403.50","394.55","396.55","399.00","399.00","398.20","536.70","366.20",12584114,"5,011,016,732.50",142183
"12-Oct-2022","EQ","394.55","398.20","391.10","393.35","396.75","396.55","394.96","536.70","366.20",14287344,"5,642,949,988.45",170299
"11-Oct-2022","EQ","397.00","399.50","391.30","395.95","391.75","393.35","396.08","536.70","366.20",14641301,"5,799,093,652.85",187285
"10-Oct-2022","EQ","403.40","403.40","393.05","412.15","396.55","395.95","396.05","536.70","366.20",32914630,"13,035,876,368.35",383835
"07-Oct-2022","EQ","413.40","414.00","408.70","414.10","413.00","412.15","411.67","536.70","335.00",10670854,"4,392,889,228.65",117622
"06-Oct-2022","EQ","409.60","417.65","409.50","407.90","413.40","414.10","414.77","536.70","335.00",12771199,"5,297,081,398.40",159765
"04-Oct-2022","EQ","406.00","408.95","402.90","397.65","407.90","407.90","406.50","536.70","335.00",12761425,"5,187,541,978.50",130059
"03-Oct-2022","EQ","405.50","406.55","395.50","404.60","397.50","397.65","400.54","536.70","335.00",20332430,"8,143,977,471.50",230313
"30-Sep-2022","EQ","398.00","408.25","392.50","402.25","405.30","404.60","400.05","536.70","323.15",20951277,"8,381,565,821.95",216223
"29-Sep-2022","EQ","411.00","413.25","399.60","399.10","404.00","402.25","405.29","536.70","323.15",20725995,"8,400,020,713.70",198002
"28-Sep-2022","EQ","394.90","406.60","392.85","398.80","397.50","399.10","401.43","536.70","323.15",18114880,"7,271,865,303.55",177675
"27-Sep-2022","EQ","403.90","404.00","390.35","397.50","399.60","398.80","397.44","536.70","323.15",21932747,"8,717,035,642.20",249236
"26-Sep-2022","EQ","416.00","417.90","393.15","423.10","398.00","397.50","400.45","536.70","323.15",33230938,"13,307,209,237.00",517741
"23-Sep-2022","EQ","431.90","431.90","420.55","432.20","423.50","423.10","424.53","536.70","293.10",13441609,"5,706,338,198.45",175682
"22-Sep-2022","EQ","425.00","434.60","422.55","427.65","432.05","432.20","428.80","536.70","293.10",13600786,"5,831,992,494.25",157185
"21-Sep-2022","EQ","433.95","436.00","425.50","434.25","428.00","427.65","430.13","536.70","293.10",10831068,"4,658,747,968.45",155053
"20-Sep-2022","EQ","430.60","443.35","430.60","425.45","434.80","434.25","438.12","536.70","293.10",17557661,"7,692,279,347.25",187305
"19-Sep-2022","EQ","431.50","431.60","424.05","432.50","425.50","425.45","427.53","536.70","293.10",15236142,"6,513,911,271.90",252321
"16-Sep-2022","EQ","446.00","446.40","429.10","447.25","433.00","432.50","436.04","536.70","293.10",20992324,"9,153,452,431.55",278006
"15-Sep-2022","EQ","452.40","455.85","446.05","450.20","448.25","447.25","449.43","536.70","293.10",10356713,"4,654,644,381.90",120837
"14-Sep-2022","EQ","447.60","454.70","447.00","456.80","450.80","450.20","451.13","536.70","293.10",10360461,"4,673,900,003.60",109186
"13-Sep-2022","EQ","454.30","458.95","453.55","451.00","456.90","456.80","456.00","536.70","293.10",10661280,"4,861,512,938.25",121708
"12-Sep-2022","EQ","447.70","453.00","447.00","445.90","450.90","451.00","450.24","536.70","293.10",8962633,"4,035,300,959.65",117848
"09-Sep-2022","EQ","447.50","449.65","440.60","442.20","446.50","445.90","444.86","536.70","290.90",14294289,"6,358,983,627.70",153630
"08-Sep-2022","EQ","452.45","452.55","440.00","445.85","442.35","442.20","444.73","536.70","290.90",19336014,"8,599,378,661.95",209697
"07-Sep-2022","EQ","453.20","456.50","443.65","457.75","446.20","445.85","448.25","536.70","290.90",20764508,"9,307,649,677.75",261409
"06-Sep-2022","EQ","462.70","463.70","456.60","459.00","457.95","457.75","459.38","536.70","290.90",9805875,"4,504,648,001.80",107966
"05-Sep-2022","EQ","459.75","463.95","457.00","461.75","460.10","459.00","460.37","536.70","290.90",9378108,"4,317,406,706.90",102371
"02-Sep-2022","EQ","470.85","471.80","460.15","466.90","461.35","461.75","465.22","536.70","286.10",10806707,"5,027,461,125.45",124725
"01-Sep-2022","EQ","462.50","474.40","462.15","471.10","466.90","466.90","468.63","536.70","286.10",13385159,"6,272,627,719.90",171729
"30-Aug-2022","EQ","458.65","472.40","457.10","453.35","470.40","471.10","466.89","536.70","286.10",14421066,"6,733,015,047.25",145625
"29-Aug-2022","EQ","451.00","456.90","450.15","465.05","454.15","453.35","453.65","536.70","286.10",11647725,"5,283,983,489.05",197293
"26-Aug-2022","EQ","465.00","470.45","463.95","459.20","464.45","465.05","466.97","536.70","268.45",11252560,"5,254,569,001.65",127120
"25-Aug-2022","EQ","466.00","468.80","457.40","463.20","459.65","459.20","463.92","536.70","268.45",11255809,"5,221,831,280.20",114733
"24-Aug-2022","EQ","459.00","464.90","457.70","460.45","463.00","463.20","461.54","536.70","268.45",12214113,"5,637,357,620.45",131380
"23-Aug-2022","EQ","449.00","462.10","447.60","454.60","461.20","460.45","455.03","536.70","268.45",17779238,"8,090,109,755.70",201138
"22-Aug-2022","EQ","468.50","468.95","452.55","471.00","453.55","454.60","460.44","536.70","268.45",15050653,"6,929,995,709.85",197616
"19-Aug-2022","EQ","486.75","488.10","468.10","484.80","471.00","471.00","476.10","536.70","268.45",16636593,"7,920,676,699.05",191324
"18-Aug-2022","EQ","484.00","486.80","479.25","485.40","484.90","484.80","483.56","536.70","268.45",12070974,"5,837,075,699.20",129347
"17-Aug-2022","EQ","490.90","494.40","484.20","489.85","484.65","485.40","489.16","536.70","268.45",15948755,"7,801,492,590.90",202083
"16-Aug-2022","EQ","479.60","491.40","478.20","477.55","490.50","489.85","484.77","536.70","268.45",16796376,"8,142,311,048.25",168451
"12-Aug-2022","EQ","475.75","481.45","470.00","476.65","476.70","477.55","477.41","536.70","268.45",13482890,"6,436,887,448.75",146342
"11-Aug-2022","EQ","482.55","485.00","475.60","475.55","475.75","476.65","479.65","536.70","268.45",12777503,"6,128,728,397.65",136148
"10-Aug-2022","EQ","470.00","477.20","463.35","468.25","475.90","475.55","470.12","536.70","268.45",13360759,"6,281,198,084.50",149880
"08-Aug-2022","EQ","466.00","471.90","464.45","465.25","468.00","468.25","468.27","536.70","268.45",10561754,"4,945,716,455.45",120623
"05-Aug-2022","EQ","468.90","472.90","464.00","468.90","464.70","465.25","468.48","536.70","268.45",11917799,"5,583,229,115.80",131947
"04-Aug-2022","EQ","473.15","473.95","456.45","467.80","466.70","468.90","465.82","536.70","268.45",18540405,"8,636,444,624.95",175295
"03-Aug-2022","EQ","475.00","476.25","459.60","476.25","467.05","467.80","466.29","536.70","268.45",19125906,"8,918,153,301.30",207995
"02-Aug-2022","EQ","478.90","479.90","469.25","479.20","474.95","476.25","475.15","536.70","268.45",19065689,"9,059,144,445.55",216324
"01-Aug-2022","EQ","451.95","481.00","451.05","449.60","480.05","479.20","469.99","536.70","268.45",43084536,"20,249,120,487.80",393644
"29-Jul-2022","EQ","445.15","452.70","445.15","442.25","449.25","449.60","449.23","536.70","268.45",16004096,"7,189,530,425.20",159128
"28-Jul-2022","EQ","440.25","449.25","427.40","444.05","442.55","442.25","439.27","536.70","268.45",36380444,"15,980,776,527.90",349031
"27-Jul-2022","EQ","441.15","445.00","436.10","441.15","443.75","444.05","442.15","536.70","268.45",10081023,"4,457,325,201.15",121524
"26-Jul-2022","EQ","448.70","448.70","439.75","449.55","440.70","441.15","442.95","536.70","268.45",11563528,"5,122,115,641.75",135822
"25-Jul-2022","EQ","456.00","457.60","446.30","454.90","449.35","449.55","451.38","536.70","268.45",12505062,"5,644,509,435.40",179333
"22-Jul-2022","EQ","456.60","459.95","452.30","454.85","454.25","454.90","455.86","536.70","268.45",10340910,"4,714,001,688.60",130269
"21-Jul-2022","EQ","452.95","455.50","450.10","453.45","454.00","454.85","453.61","536.70","268.45",10931800,"4,958,795,042.00",135559
"20-Jul-2022","EQ","454.35","460.75","451.75","449.05","452.75","453.45","456.93","536.70","268.45",17154184,"7,838,259,628.55",163862
"19-Jul-2022","EQ","446.75","451.85","444.45","450.90","448.65","449.05","448.47","536.70","268.45",11553440,"5,181,360,424.70",126256
"18-Jul-2022","EQ","443.95","453.80","443.20","440.20","450.50","450.90","449.21","536.70","268.45",21185764,"9,516,800,250.10",237488
"15-Jul-2022","EQ","430.65","441.75","429.70","428.05","438.80","440.20","435.74","536.70","268.45",15774084,"6,873,408,749.85",162715
"14-Jul-2022","EQ","428.00","431.25","423.30","427.10","428.00","428.05","427.46","536.70","268.45",10744547,"4,592,850,403.05",110920
"13-Jul-2022","EQ","432.70","435.85","425.65","430.55","427.90","427.10","429.90","536.70","268.45",10181698,"4,377,089,483.35",115660
"12-Jul-2022","EQ","433.00","435.00","428.15","437.05","428.35","430.55","432.15","536.70","268.45",9518822,"4,113,572,430.90",101623
"11-Jul-2022","EQ","438.05","441.20","433.45","441.55","435.80","437.05","437.22","536.70","268.45",12621150,"5,518,219,647.65",138171
"08-Jul-2022","EQ","436.25","443.85","429.30","430.85","440.50","441.55","437.50","536.70","268.45",23730027,"10,381,822,008.35",231534
"07-Jul-2022","EQ","419.90","432.95","419.30","416.35","431.75","430.85","425.08","536.70","268.45",17616800,"7,488,533,814.20",158392
"06-Jul-2022","EQ","414.00","417.30","410.65","412.00","417.10","416.35","414.33","536.70","268.45",12196920,"5,053,571,432.90",124260
"05-Jul-2022","EQ","415.00","418.80","410.20","408.45","412.35","412.00","415.27","536.70","268.45",16771012,"6,964,415,187.65",181870
"04-Jul-2022","EQ","411.55","414.90","405.00","412.70","407.60","408.45","408.48","536.70","268.45",11525133,"4,707,772,092.40",146366
"01-Jul-2022","EQ","410.65","414.60","402.30","411.80","413.70","412.70","407.31","536.70","268.45",14725989,"5,998,037,365.50",155707
"30-Jun-2022","EQ","418.30","424.00","410.00","416.95","411.00","411.80","416.96","536.70","268.45",20121916,"8,389,957,278.55",200888
"29-Jun-2022","EQ","412.05","419.90","411.55","417.10","416.00","416.95","417.25","536.70","268.45",13104313,"5,467,812,648.20",192310
"28-Jun-2022","EQ","411.30","418.20","409.15","414.50","417.70","417.10","415.00","536.70","268.45",13238339,"5,493,950,694.35",141548
"27-Jun-2022","EQ","417.55","419.45","412.35","409.30","413.00","414.50","415.85","536.70","268.45",12018949,"4,998,036,071.55",142406
"24-Jun-2022","EQ","410.00","412.85","406.15","407.20","408.75","409.30","409.69","536.70","268.45",14806456,"6,066,054,580.25",168066
"23-Jun-2022","EQ","396.30","409.90","394.55","393.10","407.15","407.20","403.60","536.70","268.45",26514004,"10,701,049,288.70",284438
"22-Jun-2022","EQ","396.40","397.00","390.50","397.60","392.80","393.10","393.64","536.70","268.45",12426604,"4,891,632,161.45",120100
"21-Jun-2022","EQ","389.00","399.00","387.00","382.70","398.10","397.60","394.92","536.70","268.45",14743366,"5,822,390,674.85",148497
"20-Jun-2022","EQ","390.55","392.95","376.65","388.95","384.75","382.70","382.70","536.70","268.45",17049013,"6,524,742,312.80",215323
"17-Jun-2022","EQ","387.95","394.45","382.65","392.95","390.55","388.95","388.61","536.70","268.45",24824899,"9,647,163,326.40",261780
"16-Jun-2022","EQ","420.00","420.90","390.10","414.10","393.00","392.95","403.07","536.70","268.45",22261032,"8,972,824,034.40",271515
"15-Jun-2022","EQ","410.00","416.40","407.45","405.15","412.95","414.10","413.22","536.70","268.45",15192826,"6,277,930,420.15",147244
"14-Jun-2022","EQ","403.00","411.85","397.70","406.70","404.70","405.15","405.51","536.70","268.45",19626627,"7,958,744,753.50",208822
"13-Jun-2022","EQ","414.90","418.15","405.60","428.05","406.50","406.70","410.03","536.70","268.45",17442641,"7,151,991,642.45",246370
"10-Jun-2022","EQ","423.00","428.85","422.00","428.50","427.40","428.05","426.46","536.70","268.45",11914234,"5,080,927,101.20",123430
"09-Jun-2022","EQ","431.90","435.65","426.10","435.65","428.85","428.50","429.88","536.70","268.45",13043367,"5,607,070,731.80",134244
"08-Jun-2022","EQ","438.70","440.40","432.00","435.85","434.75","435.65","435.67","536.70","268.45",12844475,"5,595,990,194.70",128030
"07-Jun-2022","EQ","432.50","438.20","429.10","432.35","436.65","435.85","432.79","536.70","268.45",11153869,"4,827,338,078.00",115183
"06-Jun-2022","EQ","427.90","433.95","424.60","431.90","433.45","432.35","428.71","536.70","268.45",11896105,"5,100,034,442.30",123128
"03-Jun-2022","EQ","444.90","445.05","430.50","439.15","431.90","431.90","435.91","536.70","268.45",12780122,"5,571,008,545.50",135530
"02-Jun-2022","EQ","445.00","445.60","435.65","444.60","439.85","439.15","439.66","536.70","268.45",12742438,"5,602,364,931.70",145132
"01-Jun-2022","EQ","445.10","446.00","439.60","443.55","445.00","444.60","442.87","536.70","268.45",11930669,"5,283,784,191.85",129941
